1, 0.01
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0.00142857
8, 0.005
9, 0.0144444
10, 0.029
11, 0.0472727
12, 0.0858333
13, 0.147692
14, 0.193571
15, 0.255333
16, 0.334375
17, 0.408235
18, 0.482778
19, 0.542105
20, 0.604
21, 0.659048
22, 0.719091
23, 0.772609
24, 0.810417
25, 0.85
26, 0.878846
27, 0.912593
28, 0.928214
29, 0.944828
30, 0.958667
31, 0.96871
32, 0.977187
33, 0.981818
34, 0.986765
35, 0.989143
36, 0.991111
37, 0.994054
38, 0.995263
39, 0.996154
40, 0.99875
41, 0.999024
42, 0.999286
43, 0.999535
44, 1
45, 0.999556
46, 1
47, 1
48, 1
49, 1
50, 1
